age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,subscription,balance_scaled,duration_scaled,previous_scaled,CLV_Score,CLV_Segment,age_group
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0,0.09225936484302653,0.05307035380235868,0.0,0.06205078856222087,High Value,51-60
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,0,0.07306665698255044,0.030703538023586822,0.0,0.045744389898351265,Low Value,41-50
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,0,0.07282152779038731,0.015453436356242375,0.0,0.04104679480206637,Low Value,31-40
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,0,0.0864761316797705,0.01870679137860919,0.0,0.04885010325346801,Medium Value,41-50
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,0,0.0728124489314183,0.04026026840178935,0.0,0.04848430498624596,Medium Value,31-40
35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,0,0.0749005864942894,0.02826352175681171,0.0,0.045929349774188215,Medium Value,31-40
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,0,0.07686162003159444,0.044123627490849936,0.0,0.0516678982630522,Medium Value,18-30
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,0,0.07282152779038731,0.07726718178121188,0.0,0.059590918429557216,High Value,41-50
58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,0,0.07390191200769888,0.010166734444896299,0.0,0.040000976337318334,Low Value,51-60
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,0,0.07818713344106913,0.011183407889385929,0.0,0.042448589087350344,Low Value,41-50
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,0,0.0752546619940806,0.04514030093533957,0.0,0.051169421277642166,Medium Value,41-50
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0.07634412507036116,0.02785685237901586,0.0,0.04652911824888534,Medium Value,18-30
53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,0,0.07285784322626333,0.10512403416022774,0.0,0.06796613186119999,VIP,51-60
58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,0,0.07344796905924864,0.014436762911752745,0.0,0.04105501340315014,Low Value,51-60
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,0,0.07427414522542808,0.03538023586823912,0.0,0.04775114337318578,Medium Value,51-60
51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,0,0.0748824287763514,0.07177714518096787,0.0,0.058974357942466055,High Value,51-60
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,0,0.07292139523904637,0.019926799511996746,0.0,0.042438737473122205,Low Value,41-50
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,0,0.07327547073883756,0.0077267181781211875,0.0,0.038955750822855136,Low Value,51-60
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,0,0.07334810161058959,0.04453029686864579,0.0,0.05003313986588853,Medium Value,51-60
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,0,0.0728033700724493,0.010980073200488003,0.0,0.03969570699637105,Low Value,31-40
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,0,0.07936738510703975,0.053273688491256604,0.0,0.055665799100896855,High Value,18-30
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0.07987580120930403,0.03334688897925986,0.0,0.04994196729842997,Medium Value,51-60
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,0,0.07301218382873641,0.032533550223668155,0.0,0.04626615698146865,Medium Value,31-40
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,0,0.07325731302089954,0.06954046360309069,0.0,0.05749079559137697,High Value,18-30
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,0,0.0728033700724493,0.036803578690524606,0.0,0.04744275864338203,Medium Value,31-40
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,0,0.06942603453597952,0.03497356649044327,0.0,0.045205087215122744,Low Value,41-50
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,0,0.07511847910954553,0.06018706791378609,0.0,0.05561535992890859,High Value,31-40
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,0,0.07382928113594685,0.0258235054900366,0.0,0.0446616922149844,Low Value,51-60
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,0,0.07056997076607413,0.05185034566897113,0.0,0.050840089083728404,Medium Value,41-50
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,0,0.07520926769923557,0.07076047173647824,0.0,0.05883277537056125,High Value,31-40
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,0,0.0804205327474443,0.045750305002033344,0.0,0.05393535787433215,High Value,51-60
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,0,0.07623517876273311,0.04676697844652298,0.0,0.05214768291532345,Medium Value,41-50
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,0,0.07315744557224049,0.0422936152907686,0.0,0.049266807373350825,Medium Value,51-60
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,0,0.0728033700724493,0.045953639690931275,0.0,0.050187776943504035,Medium Value,51-60
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,0,0.1693570352078151,0.06832045546970313,0.0,0.10517465424481848,VIP,51-60
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0.0733753381874966,0.04920699471329809,0.0,0.05144976750773773,Medium Value,51-60
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,0,0.07273981805966627,0.07421716144774299,0.0,0.05863505746415603,High Value,18-30
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,0,0.0727761334955423,0.3387555917039447,0.0,0.13801474425895455,VIP,51-60
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,0,0.07739727271076571,0.11732411549410329,0.0,0.07389587100361383,VIP,31-40
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0.0728033700724493,0.02785685237901586,0.0,0.04475874074992941,Low Value,31-40
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,0,0.09628129936629565,0.032533550223668155,0.0,0.05790071475024827,High Value,41-50
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,0,0.07324823416193053,0.036600244001626675,0.0,0.04760419028145327,Medium Value,41-50
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,0,0.0737475714052258,0.004473363155754371,0.0,0.03821579464933921,Low Value,51-60
