age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,subscription,balance_scaled,duration_scaled,previous_scaled,CLV_Score,CLV_Segment,age_group,Segment
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0,0.09225936484302653,0.05307035380235868,0.0,0.0,Low Value,51-60,High Value
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,0,0.07306665698255044,0.030703538023586822,0.0,0.0,Low Value,41-50,Low Value
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,0,0.07282152779038731,0.015453436356242375,0.0,0.0,Low Value,31-40,Low Value
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,0,0.0864761316797705,0.01870679137860919,0.0,0.0,Low Value,41-50,Medium Value
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,0,0.0728124489314183,0.04026026840178935,0.0,0.0,Low Value,31-40,Medium Value
35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,0,0.0749005864942894,0.02826352175681171,0.0,0.0,Low Value,31-40,Medium Value
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,0,0.07686162003159444,0.044123627490849936,0.0,0.0,Low Value,18-30,Medium Value
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,0,0.07282152779038731,0.07726718178121188,0.0,0.0,Low Value,41-50,High Value
58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,0,0.07390191200769888,0.010166734444896299,0.0,0.0,Low Value,51-60,Low Value
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,0,0.07818713344106913,0.011183407889385929,0.0,0.0,Low Value,41-50,Low Value
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,0,0.0752546619940806,0.04514030093533957,0.0,0.0,Low Value,41-50,Medium Value
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0.07634412507036116,0.02785685237901586,0.0,0.0,Low Value,18-30,Medium Value
53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,0,0.07285784322626333,0.10512403416022774,0.0,0.0,Low Value,51-60,VIP
58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,0,0.07344796905924864,0.014436762911752745,0.0,0.0,Low Value,51-60,Low Value
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,0,0.07427414522542808,0.03538023586823912,0.0,0.0,Low Value,51-60,Medium Value
51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,0,0.0748824287763514,0.07177714518096787,0.0,0.0,Low Value,51-60,High Value
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,0,0.07292139523904637,0.019926799511996746,0.0,0.0,Low Value,41-50,Low Value
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,0,0.07327547073883756,0.0077267181781211875,0.0,0.0,Low Value,51-60,Low Value
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,0,0.07334810161058959,0.04453029686864579,0.0,0.0,Low Value,51-60,Medium Value
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,0,0.0728033700724493,0.010980073200488003,0.0,0.0,Low Value,31-40,Low Value
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,0,0.07936738510703975,0.053273688491256604,0.0,0.0,Low Value,18-30,High Value
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,0,0.07987580120930403,0.03334688897925986,0.0,0.0,Low Value,51-60,Medium Value
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,0,0.07301218382873641,0.032533550223668155,0.0,0.0,Low Value,31-40,Medium Value
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,0,0.07325731302089954,0.06954046360309069,0.0,0.0,Low Value,18-30,High Value
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,0,0.0728033700724493,0.036803578690524606,0.0,0.0,Low Value,31-40,Medium Value
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,0,0.06942603453597952,0.03497356649044327,0.0,0.0,Low Value,41-50,Low Value
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,0,0.07511847910954553,0.06018706791378609,0.0,0.0,Low Value,31-40,High Value
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,0,0.07382928113594685,0.0258235054900366,0.0,0.0,Low Value,51-60,Low Value
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,0,0.07056997076607413,0.05185034566897113,0.0,0.0,Low Value,41-50,Medium Value
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,0,0.07520926769923557,0.07076047173647824,0.0,0.0,Low Value,31-40,High Value
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,0,0.0804205327474443,0.045750305002033344,0.0,0.0,Low Value,51-60,High Value
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,0,0.07623517876273311,0.04676697844652298,0.0,0.0,Low Value,41-50,Medium Value
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,0,0.07315744557224049,0.0422936152907686,0.0,0.0,Low Value,51-60,Medium Value
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,0,0.0728033700724493,0.045953639690931275,0.0,0.0,Low Value,51-60,Medium Value
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,0,0.1693570352078151,0.06832045546970313,0.0,0.0,Low Value,51-60,VIP
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0.0733753381874966,0.04920699471329809,0.0,0.0,Low Value,51-60,Medium Value
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,0,0.07273981805966627,0.07421716144774299,0.0,0.0,Low Value,18-30,High Value
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,0,0.0727761334955423,0.3387555917039447,0.0,0.0,Low Value,51-60,VIP
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,0,0.07739727271076571,0.11732411549410329,0.0,0.0,Low Value,31-40,VIP
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,0.0728033700724493,0.02785685237901586,0.0,0.0,Low Value,31-40,Low Value
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,0,0.09628129936629565,0.032533550223668155,0.0,0.0,Low Value,41-50,High Value
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,0,0.07324823416193053,0.036600244001626675,0.0,0.0,Low Value,41-50,Medium Value
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,0,0.0737475714052258,0.004473363155754371,0.0,0.0,Low Value,51-60,Low Value
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,0,0.07760608646705283,0.3033753558357056,0.0,0.0,Low Value,51-60,VIP
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,0,0.07367494053347376,0.1252541683611224,0.0,0.0,Low Value,51-60,VIP
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,0,0.07125088518874949,0.04920699471329809,0.0,0.0,Low Value,31-40,Medium Value
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,0,0.06949866540773156,0.07218381455876373,0.0,0.0,Low Value,51-60,High Value
44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,0,0.0728033700724493,0.045750305002033344,0.0,0.0,Low Value,41-50,Medium Value
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,0,0.0728033700724493,0.032533550223668155,0.0,0.0,Low Value,51-60,Medium Value
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,0,0.0728033700724493,0.07381049206994714,0.0,0.0,Low Value,18-30,High Value
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,0,0.08452417700143447,0.05408702724684831,0.0,0.0,Low Value,51-60,High Value
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,0,0.07058812848401214,0.05144367629117527,0.0,0.0,Low Value,41-50,Medium Value
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,0,0.0728033700724493,0.03639690931272875,0.0,0.0,Low Value,31-40,Medium Value
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,0,0.07211337679080494,0.16002440016266775,0.0,0.0,Low Value,41-50,VIP
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,0,0.07186824759864181,0.029483529890199266,0.0,0.0,Low Value,18-30,Low Value
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,0,0.07500953280191747,0.03538023586823912,0.0,0.0,Low Value,31-40,Medium Value
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,0,0.07665280627530732,0.0211468076453843,0.0,0.0,Low Value,31-40,Low Value
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,0,0.07558150091696476,0.0026433509556730377,0.0,0.0,Low Value,41-50,Low Value
